"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 04:46:33 GMT 2022","Wed Oct 26 04:46:49 GMT 2022","15703","","","","","","Заказ сплава emk24 -- @1.2 ",""
"passed","Wed Oct 26 04:34:24 GMT 2022","Wed Oct 26 04:36:11 GMT 2022","107594","","","","","","контакты emk24 -- @1.3 ",""
"broken","Wed Oct 26 04:24:12 GMT 2022","Wed Oct 26 04:24:57 GMT 2022","45144","","","","","","корзина emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:32:38 GMT 2022","Wed Oct 26 04:34:24 GMT 2022","105435","","","","","","контакты emk24 -- @1.2 ",""
"broken","Wed Oct 26 04:40:16 GMT 2022","Wed Oct 26 04:41:09 GMT 2022","53153","","","","","","Скачать стандарт emk24 -- @1.4 ",""
"passed","Wed Oct 26 04:18:00 GMT 2022","Wed Oct 26 04:18:11 GMT 2022","10833","","","","","","emkmet_ru секция 3",""
"broken","Wed Oct 26 04:24:57 GMT 2022","Wed Oct 26 04:25:46 GMT 2022","49301","","","","","","корзина emk24 -- @1.2 ",""
"passed","Wed Oct 26 04:13:49 GMT 2022","Wed Oct 26 04:15:33 GMT 2022","103227","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Wed Oct 26 04:28:14 GMT 2022","Wed Oct 26 04:28:36 GMT 2022","22007","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"passed","Wed Oct 26 04:20:38 GMT 2022","Wed Oct 26 04:22:19 GMT 2022","101036","","","","","","railws.com оставить заявку -- @1.1 ",""
"broken","Wed Oct 26 04:39:36 GMT 2022","Wed Oct 26 04:40:16 GMT 2022","40100","","","","","","Скачать стандарт emk24 -- @1.3 ",""
"passed","Wed Oct 26 04:43:19 GMT 2022","Wed Oct 26 04:46:33 GMT 2022","194330","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:22:19 GMT 2022","Wed Oct 26 04:24:01 GMT 2022","101306","","","","","","railws.com оставить заявку -- @1.2 ",""
"broken","Wed Oct 26 04:39:00 GMT 2022","Wed Oct 26 04:39:36 GMT 2022","35389","","","","","","Скачать стандарт emk24 -- @1.2 ",""
"broken","Wed Oct 26 04:29:53 GMT 2022","Wed Oct 26 04:30:25 GMT 2022","32833","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Wed Oct 26 04:30:55 GMT 2022","Wed Oct 26 04:32:38 GMT 2022","102965","","","","","","контакты emk24 -- @1.1 ",""
"broken","Wed Oct 26 04:29:22 GMT 2022","Wed Oct 26 04:29:53 GMT 2022","30289","","","","","","Заказать звонок emk24 -- @1.2 ",""
"broken","Wed Oct 26 04:47:20 GMT 2022","Wed Oct 26 04:47:54 GMT 2022","34364","","","","","","emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:28:36 GMT 2022","Wed Oct 26 04:28:54 GMT 2022","18840","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:49:08 GMT 2022","Wed Oct 26 04:49:45 GMT 2022","36774","","","","","","emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:37:56 GMT 2022","Wed Oct 26 04:39:00 GMT 2022","64058","","","","","","Скачать стандарт emk24 -- @1.1 ",""
"broken","Wed Oct 26 04:47:54 GMT 2022","Wed Oct 26 04:48:30 GMT 2022","35755","","","","","","emk24 -- @1.2 ",""
"passed","Wed Oct 26 04:27:33 GMT 2022","Wed Oct 26 04:27:53 GMT 2022","19844","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:36:11 GMT 2022","Wed Oct 26 04:37:56 GMT 2022","105035","","","","","","контакты emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:48:30 GMT 2022","Wed Oct 26 04:49:08 GMT 2022","38493","","","","","","emk24 -- @1.3 ",""
"broken","Wed Oct 26 04:42:12 GMT 2022","Wed Oct 26 04:42:47 GMT 2022","35721","","","","","","emk24 -- @1.3 ",""
"broken","Wed Oct 26 04:25:46 GMT 2022","Wed Oct 26 04:26:45 GMT 2022","59162","","","","","","корзина emk24 -- @1.3 ",""
"passed","Wed Oct 26 04:15:33 GMT 2022","Wed Oct 26 04:15:46 GMT 2022","13148","","","","","","a1-valves.com оставить заявку -- @1.2 ",""
"passed","Wed Oct 26 04:10:28 GMT 2022","Wed Oct 26 04:12:10 GMT 2022","101881","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Wed Oct 26 04:24:01 GMT 2022","Wed Oct 26 04:24:12 GMT 2022","11158","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Wed Oct 26 04:12:10 GMT 2022","Wed Oct 26 04:13:49 GMT 2022","99510","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Wed Oct 26 04:15:46 GMT 2022","Wed Oct 26 04:16:01 GMT 2022","15346","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"broken","Wed Oct 26 04:19:56 GMT 2022","Wed Oct 26 04:20:28 GMT 2022","32444","","","","","","emkworld.com оставить заявку -- @1.1 ",""
"broken","Wed Oct 26 04:42:47 GMT 2022","Wed Oct 26 04:43:19 GMT 2022","31316","","","","","","emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:41:09 GMT 2022","Wed Oct 26 04:41:39 GMT 2022","30264","","","","","","emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:16:14 GMT 2022","Wed Oct 26 04:18:00 GMT 2022","106550","","","","","","emkmet_ru секция 2",""
"broken","Wed Oct 26 04:41:39 GMT 2022","Wed Oct 26 04:42:12 GMT 2022","32190","","","","","","emk24 -- @1.2 ",""
"passed","Wed Oct 26 04:46:49 GMT 2022","Wed Oct 26 04:47:05 GMT 2022","16745","","","","","","Заказ сплава emk24 -- @1.3 ",""
"passed","Wed Oct 26 04:27:53 GMT 2022","Wed Oct 26 04:28:14 GMT 2022","20181","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"passed","Wed Oct 26 04:18:11 GMT 2022","Wed Oct 26 04:19:56 GMT 2022","104581","","","","","","emkworld.com заказать звонок -- @1.1 ",""
"broken","Wed Oct 26 04:30:25 GMT 2022","Wed Oct 26 04:30:55 GMT 2022","29997","","","","","","Заказать звонок emk24 -- @1.4 ",""
"passed","Wed Oct 26 04:47:05 GMT 2022","Wed Oct 26 04:47:20 GMT 2022","14434","","","","","","Заказ сплава emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:26:45 GMT 2022","Wed Oct 26 04:27:33 GMT 2022","48019","","","","","","корзина emk24 -- @1.4 ",""
"broken","Wed Oct 26 04:28:54 GMT 2022","Wed Oct 26 04:29:22 GMT 2022","27864","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Wed Oct 26 04:20:28 GMT 2022","Wed Oct 26 04:20:38 GMT 2022","10030","","","","","","railws.com заказать звонок",""
"passed","Wed Oct 26 04:16:01 GMT 2022","Wed Oct 26 04:16:14 GMT 2022","12773","","","","","","emkmet_ru секция 1 и 4 -- @1.2 ",""
